method,method_dir,pattern,ratio,seed,observed_tokens,val_selected_threshold,val_selected_val_dice,test_fixed_dice,test_val_selected_dice,test_iou,test_precision,test_recall,test_mean_sample_dice,test_mean_sample_iou
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,space_filling,0.75,20260703,300,0.6000000238418579,0.7386364749385715,0.707922266290978,0.7059786860997047,0.5455695965098305,0.7384878934697023,0.6762109898525751,0.7060444644660733,0.5581600404916861
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,space_filling,0.75,20260703,300,0.75,0.7775071375411261,0.7804747332949561,0.773896030285634,0.6311830394496818,0.8268753857898722,0.7272968463663466,0.7532973974893384,0.617356127249856
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,space_filling,0.75,20260703,300,0.6000000238418579,0.7633702091661292,0.7280278564301331,0.7282818069355869,0.5726754645073313,0.7528452056314342,0.7052706435819589,0.7245267036610141,0.5837422151954144
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,space_filling,0.9,20260701,360,0.6000000238418579,0.7419119675296528,0.713314483436586,0.7104980588549409,0.5509864205586452,0.7521037032510388,0.6732542873553787,0.7121444777283394,0.5654847861675518
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,space_filling,0.9,20260701,360,0.7250000238418579,0.781051749643264,0.784350117956818,0.7795143927743724,0.638691999446304,0.8256343197981189,0.7382743907442356,0.7576453628876674,0.623386069896568
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,space_filling,0.9,20260701,360,0.574999988079071,0.7646048804927724,0.7308319738988581,0.7310605900271888,0.5761193830703492,0.7550001894287122,0.7085924892645168,0.7273806093955574,0.5871153829404144
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,space_filling,0.9,20260702,360,0.6000000238418579,0.7425738733164432,0.7122900966743119,0.7095761404147252,0.5498783482217801,0.7516801830952086,0.6719386778260988,0.7122441048261875,0.5654425651492736
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,space_filling,0.9,20260702,360,0.7250000238418579,0.7819753333844192,0.7838927893706161,0.7787796922446044,0.6377061430267259,0.8248188577563136,0.7376083805147562,0.7570183956516828,0.6224815266424066
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,space_filling,0.9,20260702,360,0.574999988079071,0.7647297162397312,0.730051773732276,0.7301429557552855,0.57498043505327,0.7544451283726819,0.7073575668061596,0.7278058396541169,0.5880492794717838
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,space_filling,0.9,20260703,360,0.6000000238418579,0.7423659701574806,0.7128270766568255,0.7100137379648803,0.5504041080598348,0.7497384555496083,0.674286808347693,0.7117145842006636,0.5649038076779312
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,space_filling,0.9,20260703,360,0.75,0.7814507400912609,0.7834863981474426,0.7767079969375631,0.6349326203335933,0.8309934018452387,0.7290801673914827,0.7556391420752816,0.6205978896971923
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,space_filling,0.9,20260703,360,0.574999988079071,0.764177799241658,0.7298305633185418,0.7301622722493197,0.5750043933114891,0.7548772955522102,0.7070143048603703,0.7269789270150662,0.5869001121273384
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.1,20260701,40,0.05000000074505806,0.2529828202858524,0.1855558732882153,0.21561015542276338,0.12083130605007811,0.1404391211615399,0.4639342468750855,0.2048879265905932,0.12017185083703057
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.1,20260701,40,0.17499999701976776,0.2670782696466133,0.23183712603897144,0.2397691436244549,0.1362146009178356,0.2976651368611473,0.20072755121577637,0.193563463431734,0.1194183349265613
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.1,20260701,40,0.07500000298023224,0.32922212252337524,0.27084596950353107,0.2827369761507262,0.16464395507507437,0.26094661687882026,0.30849812641886165,0.25593058085821285,0.16083961512195838
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.1,20260702,40,0.05000000074505806,0.24905602337832122,0.17609467338277873,0.21037281855721857,0.11755119766767169,0.13712474296325577,0.45160963868603154,0.19980100552618274,0.11714529644871986
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.1,20260702,40,0.10000000149011612,0.2652728249324551,0.24858190531648303,0.2571540659869116,0.14754836383890055,0.28217452177478775,0.23620934875960722,0.2120941377437587,0.13095008662708774
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.1,20260702,40,0.07500000298023224,0.32164136537230975,0.27253882634533416,0.28529129673743314,0.1663788701804633,0.26743386145270914,0.30570416564098357,0.2612823359665927,0.16320888224589147
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.1,20260703,40,0.05000000074505806,0.2598389917565139,0.17296573591509667,0.21416849957087455,0.11992648775621387,0.13924751521962636,0.46361013101392196,0.20548369838255653,0.12046019261301662
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.1,20260703,40,0.125,0.272852167305419,0.25703770259208225,0.26177800452840316,0.15060101943847526,0.29588714251481313,0.23472005689122288,0.22605246470657187,0.14191607690476465
world_curve_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_curve_unet,raster_lines,0.1,20260703,40,0.07500000298023224,0.34508700835973394,0.2808051923149071,0.28859329425868696,0.16862928799480184,0.26247156580437275,0.32048904570443915,0.26763975776996096,0.16690181604659102
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_sparse_unet,raster_lines,0.25,20260701,100,0.699999988079071,0.6316284124888099,0.5831707300180516,0.5853451609566239,0.4137724233513021,0.5944591806660772,0.5765063865868001,0.5731382473022127,0.41901937229779407
world_unet,/home/guoheng/custom_simulation/WM/runs/sparse_matched_025_100_20260701/r128_wrench_temporal_cnn_world_unet,raster_lines,0.25,20260701,100,0.4749999940395355,0.6646685621533098,0.6587035023272761,0.6598858013798883,0.49241012598729217,0.678982196541158,0.6418341949071414,0.632800599593013,0.47864522228795464
