method,baseline,pattern,ratio,mean_aggregate_dice_delta,min_aggregate_dice_delta,max_aggregate_dice_delta,mean_sample_dice_delta,sample_bootstrap_ci_low,sample_bootstrap_ci_high,num_seeds,num_sample_seed_pairs
world_curve_unet,sparse_unet,local_block,0.25,0.15314506069830258,0.14760627976464702,0.15741341028668338,0.12806649147842458,0.11694295749598696,0.13872540588466964,3,1200
world_unet,sparse_unet,local_block,0.25,0.20887858461464867,0.19815508708100066,0.21876858771633395,0.13359842760242482,0.12021721891725436,0.14795015842417664,3,1200
world_curve_unet,sparse_unet,local_block,0.5,0.24059408098954238,0.23380182197856092,0.25075075472492475,0.22581194692827555,0.21612893092946728,0.23625152269207925,3,1200
world_unet,sparse_unet,local_block,0.5,0.27820117337127886,0.2667610979760823,0.2888659990279853,0.23941418707021953,0.22799643939011893,0.25212358913187716,3,1200
world_curve_unet,sparse_unet,local_block,0.75,0.07549704824968258,0.07120439481445084,0.07867923233343621,0.06716538130780379,0.06010315115738701,0.074517011605427,3,1200
world_unet,sparse_unet,local_block,0.75,0.11991381363377988,0.11507382665662591,0.12347273446684348,0.09114802099059004,0.08343431555179436,0.09913562421233332,3,1200
world_curve_unet,sparse_unet,local_block,0.9,0.021097303361036917,0.02038268632116358,0.021945274948753535,0.013763095746040142,0.009492925748448297,0.018315122512282078,3,1200
world_unet,sparse_unet,local_block,0.9,0.07001322404624204,0.06914824824429,0.07051099594871257,0.04168811518753578,0.035731861553871036,0.04701974404811227,3,1200
world_curve_unet,sparse_unet,missing_block,0.1,0.0124702175488098,0.0035838130043368,0.017530597861414393,0.01537623564176071,0.0052837366135597315,0.025995880998519405,3,1200
world_unet,sparse_unet,missing_block,0.1,-0.022740596182097627,-0.025224684107883283,-0.019852651354566098,-0.017847590496677015,-0.02616100570074957,-0.00863690995350696,3,1200
world_curve_unet,sparse_unet,missing_block,0.25,0.13371783148540475,0.13124152119344745,0.13734354004658783,0.13948534022143286,0.12761668353254804,0.15179224263943938,3,1200
world_unet,sparse_unet,missing_block,0.25,0.0630780788124607,0.060155809595663856,0.06504593624985033,0.06731487922780363,0.05422458077205323,0.08010393446830295,3,1200
world_curve_unet,sparse_unet,missing_block,0.5,0.21803440127137944,0.21112395643035303,0.22758268838235068,0.23387099642921602,0.22132586701182938,0.24710369689758516,3,1200
world_unet,sparse_unet,missing_block,0.5,0.15239043747290765,0.14341109516548783,0.16447053318734245,0.16272175753210438,0.14856895923036792,0.17626589166062326,3,1200
world_curve_unet,sparse_unet,missing_block,0.75,0.18560987014543764,0.17165839618378587,0.19578185433403644,0.2160252929951532,0.20269123926958243,0.22912979042544016,3,1200
world_unet,sparse_unet,missing_block,0.75,0.17493306107947026,0.16163789194694256,0.19121556620275232,0.19696274742777858,0.18174375639862392,0.21174433627349803,3,1200
world_curve_unet,sparse_unet,missing_block,0.9,0.09047612810638561,0.0811389903583607,0.09517812338250042,0.11895178582651136,0.10941527677701232,0.1294317691402877,3,1200
world_unet,sparse_unet,missing_block,0.9,0.12496817413461651,0.11051339021341777,0.13298052525831305,0.13539883996834998,0.1258943177786186,0.1454166852670112,3,1200
