pattern,ratio,seed,area_bin,method,mean_sample_dice,delta_vs_sparse_unet,num_samples
missing_block,0.25,20260702,large,world_unet,0.3426050421086633,0.010722704770933844,130
missing_block,0.25,20260702,medium,sparse_unet,0.3884378497236054,,130
missing_block,0.25,20260702,medium,world_curve_unet,0.27905293562306366,-0.10938491410054174,130
missing_block,0.25,20260702,medium,world_unet,0.2708619656646676,-0.11757588405893782,130
missing_block,0.25,20260702,small,sparse_unet,0.33137662043719396,,140
missing_block,0.25,20260702,small,world_curve_unet,0.26036286403184267,-0.07101375640535129,140
missing_block,0.25,20260702,small,world_unet,0.1911592462255479,-0.14021737421164607,140
missing_block,0.25,20260703,large,sparse_unet,0.3234454593789808,,130
missing_block,0.25,20260703,large,world_curve_unet,0.2895683222705193,-0.033877137108461464,130
missing_block,0.25,20260703,large,world_unet,0.3431824044637537,0.019736945084772917,130
missing_block,0.25,20260703,medium,sparse_unet,0.36787209051528874,,130
missing_block,0.25,20260703,medium,world_curve_unet,0.26921493704430716,-0.09865715347098158,130
missing_block,0.25,20260703,medium,world_unet,0.27074690085419034,-0.0971251896610984,130
missing_block,0.25,20260703,small,sparse_unet,0.32482004853511787,,140
missing_block,0.25,20260703,small,world_curve_unet,0.247619741046783,-0.07720030748833487,140
missing_block,0.25,20260703,small,world_unet,0.1838078988549981,-0.14101214968011977,140
missing_block,0.5,20260701,large,sparse_unet,0.5189951546510785,,130
missing_block,0.5,20260701,large,world_curve_unet,0.5123620853085176,-0.0066330693425609155,130
missing_block,0.5,20260701,large,world_unet,0.5397548781206977,0.020759723469619185,130
missing_block,0.5,20260701,medium,sparse_unet,0.5285356739484485,,130
missing_block,0.5,20260701,medium,world_curve_unet,0.5014027510086654,-0.02713292293978309,130
missing_block,0.5,20260701,medium,world_unet,0.4964245091187656,-0.03211116482968285,130
missing_block,0.5,20260701,small,sparse_unet,0.462561702178377,,140
missing_block,0.5,20260701,small,world_curve_unet,0.496233537277396,0.033671835099019,140
missing_block,0.5,20260701,small,world_unet,0.4110133056408767,-0.05154839653750032,140
missing_block,0.5,20260702,large,sparse_unet,0.5125159959898434,,130
missing_block,0.5,20260702,large,world_curve_unet,0.49781175755482887,-0.01470423843501456,130
missing_block,0.5,20260702,large,world_unet,0.5267297547133772,0.01421375872353381,130
missing_block,0.5,20260702,medium,sparse_unet,0.5437342285585715,,130
missing_block,0.5,20260702,medium,world_curve_unet,0.508541766655046,-0.03519246190352543,130
missing_block,0.5,20260702,medium,world_unet,0.5032466070586885,-0.04048762149988294,130
missing_block,0.5,20260702,small,sparse_unet,0.4452187104697692,,140
missing_block,0.5,20260702,small,world_curve_unet,0.4937669858523319,0.04854827538256273,140
missing_block,0.5,20260702,small,world_unet,0.38871245302486174,-0.05650625744490745,140
missing_block,0.5,20260703,large,sparse_unet,0.502034733361124,,130
missing_block,0.5,20260703,large,world_curve_unet,0.4905513529765255,-0.011483380384598507,130
missing_block,0.5,20260703,large,world_unet,0.5201081413841142,0.01807340802299018,130
missing_block,0.5,20260703,medium,sparse_unet,0.5232751570329099,,130
missing_block,0.5,20260703,medium,world_curve_unet,0.5076960380536327,-0.015579118979277218,130
missing_block,0.5,20260703,medium,world_unet,0.4986575866737121,-0.024617570359197816,130
missing_block,0.5,20260703,small,sparse_unet,0.4565405275971043,,140
missing_block,0.5,20260703,small,world_curve_unet,0.5191244700407034,0.0625839424435991,140
missing_block,0.5,20260703,small,world_unet,0.4341464716479074,-0.02239405594919691,140
missing_block,0.75,20260701,large,sparse_unet,0.6018470247247102,,130
missing_block,0.75,20260701,large,world_curve_unet,0.6280746547779271,0.026227630053216933,130
missing_block,0.75,20260701,large,world_unet,0.6489932720017545,0.047146247277044306,130
missing_block,0.75,20260701,medium,sparse_unet,0.5933671416667937,,130
missing_block,0.75,20260701,medium,world_curve_unet,0.6092299105944139,0.015862768927620174,130
missing_block,0.75,20260701,medium,world_unet,0.5848688282080565,-0.008498313458737194,130
missing_block,0.75,20260701,small,sparse_unet,0.47637148661665735,,140
missing_block,0.75,20260701,small,world_curve_unet,0.6254085732804254,0.14903708666376808,140
missing_block,0.75,20260701,small,world_unet,0.5596736112349024,0.0833021246182451,140
missing_block,0.75,20260702,large,sparse_unet,0.5991094552316527,,130
missing_block,0.75,20260702,large,world_curve_unet,0.6137174780850995,0.014608022853446756,130
missing_block,0.75,20260702,large,world_unet,0.6301847709748205,0.031075315743167797,130
