method,method_dir,pattern,ratio,seed,observed_tokens,val_selected_threshold,val_selected_val_dice,test_fixed_dice,test_val_selected_dice,test_iou,test_precision,test_recall,test_mean_sample_dice,test_mean_sample_iou
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.75,20260702,300,0.6499999761581421,0.7705500352085126,0.7539822283016347,0.7547188002068704,0.606062952152692,0.7601224585481698,0.7493914280243976,0.734457367049242,0.5950945164534062
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.75,20260702,300,0.574999988079071,0.7814357943530887,0.7443595690305439,0.7432811080041319,0.5914457980524859,0.7775001530835508,0.7119471568064331,0.7369812283754738,0.5970405785922337
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.75,20260703,300,0.6000000238418579,0.7160954731083569,0.6949700763246291,0.6942067394535743,0.5316360257236085,0.6999961069152308,0.6885123492245836,0.6847080557737308,0.5324116015846687
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.75,20260703,300,0.6499999761581421,0.7708926673128713,0.7543809109108578,0.7550071165033786,0.6064348853006335,0.7629671004859521,0.747211509532015,0.7366260912361217,0.5977130735191118
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.75,20260703,300,0.550000011920929,0.7823708457825481,0.7459786547579371,0.7455161122539082,0.5942811378736506,0.7770412681084721,0.7164492218484177,0.7384846250820962,0.5988658281651833
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.9,20260701,360,0.574999988079071,0.7186882397654468,0.6975809402485466,0.6966334766313856,0.5344877777211144,0.7054897775733464,0.6879967725171631,0.6866633621583199,0.5347920611937412
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.9,20260701,360,0.675000011920929,0.7761133872538786,0.7613939119760451,0.7609577396571382,0.6141499479174904,0.7793407778139377,0.7434219523536009,0.744336525886387,0.6067673514560412
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.9,20260701,360,0.550000011920929,0.7858624230668555,0.7457398440099064,0.7449625370198542,0.5935779281447945,0.7837303654446925,0.7098492929624464,0.7384126385674861,0.5989420747651489
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.9,20260702,360,0.574999988079071,0.7187568733380468,0.696623456543294,0.6957902580638012,0.5334956761102303,0.7047985027302165,0.6870093815814666,0.6857835149946488,0.5337420076745287
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.9,20260702,360,0.6499999761581421,0.7771086661039766,0.7614162854675368,0.761266446797431,0.6145522132901665,0.7731788499781391,0.7497155438855612,0.7443412968352767,0.6067388079253949
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.9,20260702,360,0.5249999761581421,0.7859709299374628,0.7462177538817603,0.745849500054633,0.5947049417810091,0.780513068862074,0.714133913186182,0.7389368687392371,0.5995602113626214
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,random,0.9,20260703,360,0.574999988079071,0.7188912896441297,0.6965963112659572,0.695808263941441,0.5335168477943789,0.7039824532427068,0.6878217226005853,0.6854573901418485,0.5331932317447192
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,random,0.9,20260703,360,0.6499999761581421,0.7763064735135814,0.7596870979280448,0.7599764781516881,0.6128726308505087,0.7718062506433823,0.7485038702442494,0.7421525110032724,0.6041623320903312
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,random,0.9,20260703,360,0.550000011920929,0.7868935925543805,0.7447126147242704,0.7439356469433591,0.5922751052786323,0.7836988080568935,0.708012636415853,0.737020911814534,0.5970866509029378
sparse_unet,/home/guoheng/custom_simulation/WM/runs/sparse_baseline_core_20260701/r128_wrench_temporal_cnn_sparse_unet,space_filling,0.1,20260701,40,0.625,0.6481593104241528,0.6050575911112559,0.6047298006704603,0.4334141164636408,0.5991055981983119,0.6104606000929953,0.5902274983201836,0.43472129067417115
world_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_unet,space_filling,0.1,20260701,40,0.925000011920929,0.5508490078834224,0.4861361894175102,0.5259124346571422,0.3567715019255456,0.5061156974626685,0.5473209157298761,0.5002833654167026,0.34834894006023476
world_curve_unet,/home/guoheng/custom_simulation/runs/wrench_temporal_cnn_world_20260622/r128_wrench_temporal_cnn_world_curve_unet,space_filling,0.1,20260701,40,0.20000000298023224,0.5492560632613331,0.5146436544164196,0.5213488563471413,0.35258408217857357,0.5717414400020889,0.4791198271382074,0.4866636723179182,0.34046561223675625
