method,baseline,pattern,ratio,mean_aggregate_dice_delta,min_aggregate_dice_delta,max_aggregate_dice_delta,mean_sample_dice_delta,sample_bootstrap_ci_low,sample_bootstrap_ci_high,num_seeds,num_sample_seed_pairs
world_unet,sparse_unet,space_filling,0.25,0.03829313521316102,0.0365945970222219,0.040228309382475014,0.03583240959575306,0.02914064588383148,0.04223855406125658,3,1200
world_curve_unet,sparse_unet,space_filling,0.5,0.04923405960771221,0.04687631167209427,0.05069263741480068,0.05134182323119049,0.046120000624447564,0.05629622338801806,3,1200
world_unet,sparse_unet,space_filling,0.5,0.05512453822596978,0.054154144597987175,0.05595327100863934,0.046732572764170026,0.0404873513483868,0.052837607579931986,3,1200
world_curve_unet,sparse_unet,space_filling,0.75,0.049349539753887374,0.0476892490811166,0.051038057246433066,0.05153585252258322,0.04656419775965921,0.05611892560124575,3,1200
world_unet,sparse_unet,space_filling,0.75,0.06105681030009765,0.05684778968041582,0.06434454466485928,0.05261108784334868,0.046461524113022436,0.05876193279671098,3,1200
world_curve_unet,sparse_unet,space_filling,0.9,0.04915090370350361,0.04866637388775763,0.04994765342389196,0.05239017601557774,0.047410829505860855,0.05748069417790436,3,1200
world_unet,sparse_unet,space_filling,0.9,0.06468153029153152,0.06298104206327215,0.06650890530056441,0.057929836485064286,0.051936299308540955,0.06384303832322619,3,1200
world_curve_unet,sparse_unet,raster_lines,0.1,-0.0554862314950581,-0.0554862314950581,-0.0554862314950581,-0.0832873409072091,-0.09138803364700492,-0.07521791277485296,3,1200
world_unet,sparse_unet,raster_lines,0.1,-0.08124423907760675,-0.08124423907760675,-0.08124423907760675,-0.09327015999286006,-0.10382209015921746,-0.08344609211012889,3,1200
world_curve_unet,sparse_unet,raster_lines,0.25,0.042568374980574086,0.042568374980574086,0.042568374980574086,0.03050069337624741,0.023800415479103814,0.03691194003581403,3,1200
world_unet,sparse_unet,raster_lines,0.25,0.0418068500969343,0.0418068500969343,0.0418068500969343,0.02968267289115596,0.023332392241039144,0.03519524594958843,3,1200
world_curve_unet,sparse_unet,raster_lines,0.5,0.05072232776857677,0.05072232776857677,0.05072232776857677,0.055066057042187116,0.05056550281480928,0.05957651626342603,3,1200
world_unet,sparse_unet,raster_lines,0.5,0.059827663620635074,0.059827663620635074,0.059827663620635074,0.05246074061284552,0.04667212598294466,0.05828224657740669,3,1200
world_curve_unet,sparse_unet,raster_lines,0.75,0.027545077288934183,0.027545077288934183,0.027545077288934183,0.0005981885342098384,-0.008404502397552204,0.010099443122298275,3,1200
world_unet,sparse_unet,raster_lines,0.75,0.034180010658762305,0.034180010658762305,0.034180010658762305,0.024386826988328766,0.014937082238572891,0.034666975556166185,3,1200
world_curve_unet,sparse_unet,raster_lines,0.9,0.044647576149960955,0.044647576149960955,0.044647576149960955,0.04505211225347229,0.03974688260608957,0.05034293309601805,3,1200
world_unet,sparse_unet,raster_lines,0.9,0.0590230844276034,0.0590230844276034,0.0590230844276034,0.050035566615885055,0.04366370834252985,0.056484346671617995,3,1200
world_curve_unet,sparse_unet,local_block,0.1,-0.012482098774682268,-0.018033085035877056,-0.00675071716588499,-0.04666849148207408,-0.0553638412718562,-0.03802246461907772,3,1200
world_unet,sparse_unet,local_block,0.1,-0.014420609231021508,-0.022276945206324728,-0.006420832082472183,-0.03218375209690473,-0.04290622272709254,-0.02195294074149927,3,1200
world_curve_unet,sparse_unet,local_block,0.25,-0.022423503351814516,-0.029600047792450346,-0.01831541764339778,-0.07975346144787157,-0.08832518299231576,-0.07212676199931095,3,1200
world_unet,sparse_unet,local_block,0.25,-0.07352580789890155,-0.0822698764053375,-0.06574093508290874,-0.10050939808203604,-0.11035871825399388,-0.0908301388727058,3,1200
world_curve_unet,sparse_unet,local_block,0.5,0.01613331630916078,0.01568838574733289,0.01680063145282429,-0.013555556217119442,-0.020891352090275934,-0.006139561023630881,3,1200
world_unet,sparse_unet,local_block,0.5,-0.019043278568385908,-0.02255541433569941,-0.016011435192832657,-0.03482588935682942,-0.042983948780931196,-0.027139899907591594,3,1200
world_curve_unet,sparse_unet,local_block,0.75,0.04218349802816072,0.038277912324187646,0.04473254159675055,0.03992811646489967,0.034183333348664774,0.045012120086843674,3,1200
